6
673
id	astId	startLong	startLat	endLong	endLat
string	int	float	float	float	float
astline_60_9	60	86.939170000000004	-9.6697199999999999	78.63458	-8.20167
astline_60_10	60	78.63458	-8.20167	83.001670000000004	-0.29916999999999999
astline_60_11	60	83.001670000000004	-0.29916999999999999	81.282920000000004	6.3497199999999996
astline_60_12	60	81.282920000000004	6.3497199999999996	83.784580000000005	9.9341699999999999
astline_60_13	60	83.784580000000005	9.9341699999999999	88.792919999999995	7.4069399999999996
astline_60_14	60	81.282920000000004	6.3497199999999996	72.459999999999994	6.9613899999999997
astline_60_15	60	72.459999999999994	6.9613899999999997	72.801670000000001	5.6050000000000004
astline_60_16	60	72.801670000000001	5.6050000000000004	73.344999999999999	2.50806
astline_60_17	60	73.344999999999999	2.50806	74.637079999999997	1.71417
astline_60_18	60	72.459999999999994	6.9613899999999997	72.652919999999995	8.9002800000000004
astline_60_19	60	72.652919999999995	8.9002800000000004	73.724170000000001	10.150829999999999
astline_60_20	60	91.892920000000004	14.768330000000001	90.595830000000007	9.6475000000000009
astline_61_0	61	306.41208	-56.734999999999999	321.61083000000002	-65.366110000000006
astline_61_1	61	321.61083000000002	-65.366110000000006	311.23957999999999	-66.203059999999994
astline_61_2	61	311.23957999999999	-66.203059999999994	302.18167	-66.181939999999997
astline_61_3	61	302.18167	-66.181939999999997	306.41208	-56.734999999999999
astline_61_4	61	302.18167	-66.181939999999997	300.14792	-72.910560000000004
astline_61_5	61	300.14792	-72.910560000000004	280.75875000000002	-71.428060000000002
astline_61_6	61	280.75875000000002	-71.428060000000002	284.23750000000001	-67.233609999999999
astline_61_7	61	284.23750000000001	-67.233609999999999	302.18167	-66.181939999999997
astline_61_8	61	284.23750000000001	-67.233609999999999	283.05417	-62.1875
astline_61_9	61	283.05417	-62.1875	275.80667	-61.49389
astline_61_10	61	275.80667	-61.49389	272.14499999999998	-63.668329999999997
astline_61_11	61	272.14499999999998	-63.668329999999997	283.05417	-62.1875
astline_61_12	61	272.14499999999998	-63.668329999999997	266.43333000000001	-64.723889999999997
astline_62_0	62	3.3091699999999999	15.18361	346.19042000000002	15.20528
astline_62_1	62	345.94375000000002	28.08278	340.75042000000002	30.22139
astline_62_2	62	340.75042000000002	30.22139	332.30667	33.172220000000003
astline_62_3	62	345.94375000000002	28.08278	342.50083000000001	24.601669999999999
astline_62_4	62	342.50083000000001	24.601669999999999	341.63292000000001	23.565560000000001
astline_62_5	62	341.63292000000001	23.565560000000001	331.75292000000002	25.344999999999999
astline_62_6	62	331.75292000000002	25.344999999999999	326.16125	25.645
astline_62_7	62	346.19042000000002	15.20528	341.67333000000002	12.172779999999999
astline_62_8	62	341.67333000000002	12.172779999999999	340.36541999999997	10.831390000000001
astline_62_9	62	340.36541999999997	10.831390000000001	332.55	6.1977799999999998
astline_62_10	62	332.55	6.1977799999999998	326.04667000000001	9.875
astline_62_11	62	2.0970800000000001	29.09056	345.94375000000002	28.08278
astline_62_12	62	2.0970800000000001	29.09056	3.3091699999999999	15.18361
astline_62_13	62	345.94375000000002	28.08278	346.19042000000002	15.20528
astline_63_0	63	56.07958	32.288330000000002	58.532919999999997	31.883610000000001
astline_63_1	63	58.532919999999997	31.883610000000001	59.741250000000001	35.791110000000003
astline_63_2	63	59.741250000000001	35.791110000000003	59.463329999999999	40.010280000000002
astline_63_3	63	59.463329999999999	40.010280000000002	55.731250000000003	47.787500000000001
astline_63_4	63	55.731250000000003	47.787500000000001	51.080829999999999	49.861109999999996
astline_63_5	63	51.080829999999999	49.861109999999996	46.199170000000002	53.506390000000003
astline_63_6	63	46.199170000000002	53.506390000000003	42.674169999999997	55.895560000000003
astline_63_7	63	51.080829999999999	49.861109999999996	47.042079999999999	40.955559999999998
astline_63_8	63	47.042079999999999	40.955559999999998	46.294170000000001	38.84028
astline_63_9	63	46.294170000000001	38.84028	42.646250000000002	38.31861
astline_64_0	64	17.096250000000001	-55.245829999999998	16.52083	-46.718609999999998
astline_64_1	64	16.52083	-46.718609999999998	6.5508300000000004	-43.68
astline_64_2	64	6.5508300000000004	-43.68	17.096250000000001	-55.245829999999998
astline_64_3	64	16.52083	-46.718609999999998	22.812919999999998	-49.072780000000002
astline_64_4	64	22.812919999999998	-49.072780000000002	28.411670000000001	-46.302500000000002
astline_64_5	64	28.411670000000001	-46.302500000000002	16.52083	-46.718609999999998
astline_64_6	64	16.52083	-46.718609999999998	22.091249999999999	-43.318330000000003
astline_64_7	64	22.091249999999999	-43.318330000000003	6.5508300000000004	-43.68
astline_64_8	64	6.5508300000000004	-43.68	6.5708299999999999	-42.306109999999997
astline_64_9	64	6.5708299999999999	-42.306109999999997	2.3529200000000001	-45.747500000000002
astline_64_10	64	2.3529200000000001	-45.747500000000002	6.5508300000000004	-43.68
astline_65_0	65	102.0475	-61.941389999999998	87.457080000000005	-56.166670000000003
astline_65_1	65	87.457080000000005	-56.166670000000003	86.821250000000006	-51.066389999999998
astline_66_0	66	344.41291999999999	-29.622219999999999	340.16417000000001	-27.043610000000001
astline_66_1	66	340.16417000000001	-27.043610000000001	330.20916999999997	-28.453610000000001
astline_66_2	66	330.20916999999997	-28.453610000000001	326.93416999999999	-30.898330000000001
astline_66_3	66	326.93416999999999	-30.898330000000001	332.53667000000002	-32.54833
astline_66_4	66	332.53667000000002	-32.54833	337.87625000000003	-32.346110000000003
